190610_1!1,B50000,10,APOE44,0,26,30.7,B03616.jpg,
190610_2!1,B50000,10,APOE44,0,26,32.1,B03680.jpg,
190610_3!1,B50000,10,APOE44,0,26,31.6,B03709.jpg,
190610_4!1,B50000,10,APOE44,0,26,30.6,B03714.jpg,
190610_5!1,B50000,10,APOE44,0,26,32.2,B04261.jpg,
190610_6!1,B50000,10,APOE44,1,26,25.6,B04255.jpg,
190610_7!1,B50000,10,APOE44,1,26,28.7,B04251.jpg,
190610_8!1,B50000,10,APOE44,1,26,25.7,B04016.jpg,
190610_9!1,B50000,10,APOE44,1,26,24.6,B04011.jpg,
190610_10!1,B50000,10,APOE44,1,26,29.6,B0406.jpg,
190715_1!1,B50011,9,APOE33,0,25,32.7,B03870.jpg,
190715_2!1,B50011,9,APOE33,0,25,36.9,B03694.jpg,
190715_3!1,B50011,9,APOE33,0,25,32.4,B038.jpg,
190715_4!1,B50011,9,HN,1,27,27.8,B03858.jpg,
190715_5!1,B50011,9,APOE22,0,24,32,B03852.jpg,
190715_6!1,B50011,9,APOE22,0,24,32.9,B03616.jpg,
190715_7!1,B50012,9,APOE22,1,24,27.5,B03680.jpg,
190715_8!1,B50012,9,APOE22,1,24,28.8,B03709.jpg,
190715_9!1,B50012,9,APOE22,0,24,29.3,B03714.jpg,
190715_10!1,B50012,9,APOE22,0,24,32.3,B04261.jpg,
190909_9!1,B50015,8,HN,0,27,33.4,B04255.jpg,
190909_10!1,B50015,8,APOE33,0,25,36.4,B04251.jpg,
190909_11!0,B50015,8,APOE33,1,25,36.2,B04016.jpg,
190909_12!0,B50015,8,APOE33,1,25,30.4,B04011.jpg,
190909_13!0,B50015,8,APOE33,0,25,34,B0406.jpg,
190909_14!0,B50015,8,APOE33,1,25,28.1,B03870.jpg,
191028_5!0,B50020,6,APOE22,1,25,22.5,B03694.jpg,
191028_4!0,B50020,6,APOE22,1,25,24,B038.jpg,
191028_6!0,B50020,6,APOE22,0,25,30.3,B03858.jpg,
191028_7!0,B50020,6,APOE22,0,25,28,B03852.jpg,
191028_3!0,B50020,6,APOE22,1,25,22.3,B03616.jpg,
191205_1!0,B50027,6,CVN,1,18,24.1,B03680.jpg,
191205_2!0,B50028,6,CVN,1,18,24,B03709.jpg,
191205_3!0,B50028,6,CVN,1,18,24,B03616.jpg,
191205_4!0,B50030,6,CVN,1,18,22.8,B03680.jpg,
191205_5!0,B50030,6,CVN,1,18,24.7,B03709.jpg,
191205_6!0,B50031,6,CVN,1,17,24.8,B03714.jpg,
191205_8!0,B50031,6,CVN,1,17,25.6,B04261.jpg,
191205_9!0,B50031,6,CVN,1,17,25.8,B04255.jpg,
191205_10!0,B50031,6,CVN,1,17,28.9,B04251.jpg,
191212_1!0,B50032,6,CVN,1,18,20.6,B04016.jpg,
191212_3!0,B50032,6,CVN,1,18,22.8,B04011.jpg,
191212_4!0,B50032,6,CVN,1,18,26.6,B0406.jpg,
191212_5!0,B50032,6,CVN,1,18,25.5,B03870.jpg,
191212_6!0,B50032,6,CVN,1,17,24.1,B03694.jpg,
191212_7!0,B50032,6,CVN,1,17,26,B038.jpg,
191212_8!0,B50032,6,CVN,1,17,26.3,B03858.jpg,
191212_9!0,B50032,6,CVN,1,17,22.7,B03852.jpg,
,,,,,,,,
